,Unnamed: 0,author,year,title,Big_numbers,Small_numbers,big-small-ratio,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
100,100,Chen etal,2008,constructional entransy.txt,0,6,-1.0,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
101,101,chen etal,2009,Research on ground coupled heat.txt,1,6,-0.7142857142857143,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
102,102,chen etal,2010,An experimentaL.txt,1,7,-0.75,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
103,103,chen etal,2010,Development of photovoltaic thermal.txt,9,22,-0.4193548387096774,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
104,104,chen etal,2012,Constructal.txt,0,7,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
105,105,chen etal,2012,Internal.txt,0,2,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
106,106,chen etal,2012,lessons learnt from an operating analysis.txt,1,21,-0.9090909090909092,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
107,107,chen etal,2012,Optimal expansion.txt,0,7,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
108,108,chen etal,2012,Thermodynamic.txt,1,4,-0.6,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
109,109,chen etal,2016,Modeling.txt,0,8,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
110,110,chen etal,2016,Theoretical.txt,17,5,0.5454545454545454,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
111,111,chen etal,2018,Performance.txt,0,7,-1.0,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
112,112,chen,2018,Study on energy.txt,0,5,-1.0,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
113,113,chien,2014,Assessment.txt,1,23,-0.9166666666666666,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
114,114,cho etal,2014,Energy.txt,8,9,-0.0588235294117647,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
115,115,chong,2013,Comparing.txt,1,11,-0.8333333333333334,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
116,116,chow,2012,The potential.txt,1,25,-0.9230769230769232,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
117,117,Christian etal,2009,predictingdomestic.txt,2,26,-0.8571428571428571,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
118,118,chu etal,2020,Effects of stripper.txt,0,8,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
119,119,Chun etal,2008,novel thermodiode designs.txt,0,13,-1.0,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
120,120,chung and ju,2010,A hybrid design of VAWT.txt,1,0,1.0,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
121,121,Ciampi etal,2013,energy performance.txt,2,23,-0.84,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
122,122,ciampi etal,2014,energy and economic analyses.txt,2,13,-0.7333333333333333,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
123,123,colombo,2012,Carbon dioxide refrigeration with heat.txt,0,5,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
124,124,Comarazamy etal,2013,impacts of urb.txt,1,19,-0.9,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
125,125,Cooke etal,2013,biomass energy crop feasibility.txt,0,8,-1.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
126,126,corberan etal,2018,Dual source.txt,8,26,-0.5294117647058824,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
127,127,coskun etal,2009,Energy and exergy.txt,0,5,-1.0,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
128,128,cruikshank,2011,economic.txt,0,7,-1.0,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
129,129,cuce and cuce,2013,Optimization.txt,7,3,0.4,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
130,130,cuce and cuce,2013,Theoretical investigation of hot box solar coo.txt,0,2,-1.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
131,131,cuce and riffat,2016,A comprehensive assessment of sectoral energy.txt,0,23,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
132,132,Cuimin etal,2020,energy conservation.txt,1,13,-0.8571428571428571,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
133,133,d'alessandro etal,2016,Innovative concretes for low carbon constructions.txt,0,21,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
134,134,dakwale and ralegaonkar,2011,Review of carbon emission through buildings.txt,0,5,-1.0,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
135,135,Daniel C. Staley,2013,urban forests and solar power.txt,1,1,0.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
136,136,darkwa and fraser,2012,Performance of an integrated solar absorption cooling system.txt,0,4,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
137,137,Davies etal,2013,seawater.txt,0,3,-1.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
138,138,dayma etal,2013,Energetic and exergetic analyses of a transcritical N2O heat pump system.txt,0,3,-1.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
139,139,dien etal,2011,Biochemical processing of reed canarygrass into fuel ethanol.txt,1,14,-0.8666666666666667,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
140,140,ding and riffat,2012,Thermochemical energy storage technologies for building applications.txt,0,6,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
141,141,ding,2019,Comparison.txt,7,16,-0.391304347826087,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
142,142,Du etal,2017,impact of blades wrap energy.txt,0,12,-1.0,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
143,143,du,2011,electroca.txt,0,7,-1.0,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
144,144,durakovic and torlak,2016,Experimental.txt,0,9,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
145,145,ebhota,2018,The place.txt,3,6,-0.3333333333333333,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
146,146,eboka etal,2018,Detailed.txt,0,0,,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
147,147,eicker,2012,Large scal.txt,0,11,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
148,148,elbaiuomy,2017,The impact.txt,3,4,-0.1428571428571428,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
149,149,elmer etal,2016,Experimental.txt,1,9,-0.8,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
150,150,eloka and onunka,2020,Sustainable.txt,0,8,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
151,151,elsayed,2013,Thermodynamic.txt,1,2,-0.3333333333333333,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
152,152,elsayed,2014,Numerical investigation.txt,4,6,-0.2,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
153,153,Embaye etal,2014,effect of flow pulsation.txt,0,1,-1.0,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
154,154,enayatizade,2019,Techno econom.txt,2,14,-0.75,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
155,155,Ernest,2008,sun spot related climate variations.txt,0,6,-1.0,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
156,156,esfahankalteh,2020,Achieving.txt,1,10,-0.8181818181818182,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
157,157,fadeyibi etal,2020,Ecological.txt,6,2,0.5,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
158,158,Fan etal,2017,intermittent supply.txt,0,1,-1.0,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
159,159,Fan etal,2018,cooling load prediction.txt,3,6,-0.3333333333333333,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
160,160,fang etal,2012,Characterization.txt,0,0,,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
161,161,fang etal,2017,Experimental.txt,0,5,-1.0,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
162,162,farikhah,2020, The effect.txt,0,7,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
163,163,fazeli,2013,Analysing.txt,3,4,-0.1428571428571428,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
164,164,feng etal,2010,Heating.txt,3,18,-0.7142857142857143,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
165,165,feng etal,2010,steady,6,12,-0.3333333333333333,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
166,166,feng etal,2013,Constructal.txt,0,1,-1.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
167,167,ferron etal,2011,custom.txt,1,6,-0.7142857142857143,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
168,168,fhazali etal,2017,Feasibility.txt,14,6,0.4,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
169,169,filippeschi etal,2012,Feasibility.txt,1,8,-0.7777777777777778,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
170,170,fritschi etal,2016,Efficiency.txt,0,11,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
171,171,fu etal,2009,co2 emission.txt,0,2,-1.0,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
172,172,gago etal,2010,irradiation and temperatur.txt,0,28,-1.0,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
173,173,gan,2015,Impacts of dynam.txt,1,22,-0.9130434782608696,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
174,174,gao etal,2010,concentrating PV modules.txt,0,0,,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
175,175,Gao etal,2013,A comparativ.txt,1,14,-0.8666666666666667,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
176,176,gao etal,2018,Comparis.txt,0,13,-1.0,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
177,177,Ge etal,2009,water absorption.txt,2,6,-0.5,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
178,178,Gennaro,2014,climatechangeAndRespiratory.txt,31,125,-0.6025641025641025,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
179,179,georges,2013,Design.txt,1,15,-0.875,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
180,180,ghabra,2017,The impac.txt,6,12,-0.3333333333333333,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
181,181,ghalamchi,2016,Evolving.txt,5,12,-0.4117647058823529,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
182,182,gharghani,2020,An experimental.txt,1,19,-0.9,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
183,183,ghazali,2017,Feasibilit.txt,4,2,0.3333333333333333,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
184,184,gong etal,2012,Emissions.txt,0,7,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
185,185,gordeeva etal,2012,Composites.txt,3,13,-0.625,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
186,186,goshayeshi and chaer,2016,Comparison.txt,0,8,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
